referencia;temp-media-sp;temp-media-rj;temp-media-mg
2019-06-01;19;25;22
2019-06-02;17;23;22
2019-06-03;16;22;21
2019-06-04;14;21;18
2019-06-05;13;19;17
2019-06-06;15;20;17
2019-06-07;16;20;17
2019-06-08;15;21;17
2019-06-09;14;21;17
2019-06-10;16;22;18
2019-06-11;16;23;19
2019-06-12;18;23;19
2019-06-13;20;24;20
2019-06-14;21;25;20
2019-06-15;20;24;20
2019-06-16;19;23;19
2019-06-17;17;23;19
2019-06-18;18;22;19
2019-06-19;19;22;21
2019-06-20;17;23;19
2019-06-21;16;23;19
2019-06-22;17;22;17
2019-06-23;18;22;19
2019-06-24;18;23;20
2019-06-25;20;24;20
2019-06-26;19;26;22
2019-06-27;19;24;22
2019-06-28;20;25;21
2019-06-29;21;24;19
2019-06-30;20;25;20
2019-07-01;20;25;20
2019-07-02;19;24;19
2019-07-03;20;25;20
2019-07-04;15;23;20
2019-07-05;12;20;21
2019-07-06;8;18;18
2019-07-07;8;18;15
2019-07-08;12;19;15
2019-07-09;13;19;15
2019-07-10;14;19;16
2019-07-11;15;19;16
2019-07-12;15;20;17
2019-07-13;17;20;19
2019-07-14;18;22;20
2019-07-15;17;22;20
2019-07-16;13;21;20
2019-07-17;11;18;17
2019-07-18;13;18;16
2019-07-19;14;19;16
2019-07-20;15;20;16
2019-07-21;16;21;17
2019-07-22;19;23;18
2019-07-23;19;22;18
2019-07-24;18;23;20
2019-07-25;16;22;19
2019-07-26;19;23;19
2019-07-27;19;23;18
2019-07-28;17;22;19
2019-07-29;16;21;19
2019-07-30;18;22;20
2019-07-31;17;23;21
2019-08-01;18;22;21
2019-08-02;18;25;22
2019-08-03;10;20;22
2019-08-04;10;17;19
2019-08-05;12;17;17
2019-08-06;16;20;18
2019-08-07;19;21;20
2019-08-08;20;22;21
2019-08-09;20;23;21
2019-08-10;22;25;22
2019-08-11;17;24;23
2019-08-12;21;24;22
2019-08-13;16;23;22
2019-08-14;11;18;20
2019-08-15;13;18;18
2019-08-16;15;19;17
2019-08-17;18;20;17
2019-08-18;20;23;20
2019-08-19;15;22;22
2019-08-20;13;21;23
2019-08-21;14;19;22
2019-08-22;13;19;20
2019-08-23;14;18;19
2019-08-24;13;19;19
2019-08-25;13;19;19
2019-08-26;15;20;19
2019-08-27;16;21;20
2019-08-28;16;21;19
2019-08-29;17;21;18
2019-08-30;20;23;20
2019-08-31;22;25;22
2019-09-01;17;24;24
2019-09-02;15;21;24
2019-09-03;16;22;25
2019-09-04;15;21;26
2019-09-05;13;19;23
2019-09-06;14;19;21
2019-09-07;20;22;21
2019-09-08;23;24;21
2019-09-09;25;25;21
2019-09-10;24;26;24
2019-09-11;25;24;25
2019-09-12;27;27;27
2019-09-13;16;24;28
2019-09-14;17;22;24
2019-09-15;21;24;23
2019-09-16;24;26;23
2019-09-17;24;27;24
2019-09-18;23;27;26
2019-09-19;19;25;27
2019-09-20;21;26;27
2019-09-21;15;23;27
2019-09-22;15;21;24
2019-09-23;13;20;20
2019-09-24;15;21;20
2019-09-25;15;20;17
2019-09-26;16;20;16
2019-09-27;15;21;20
2019-09-28;14;21;21
2019-09-29;16;20;22
2019-09-30;17;21;22
2019-10-01;20;23;23
2019-10-02;23;24;23
2019-10-03;19;23;23
2019-10-04;19;25;22
2019-10-05;22;27;23
2019-10-06;18;25;23
2019-10-07;17;24;24
2019-10-08;16;23;25
2019-10-09;16;21;24
2019-10-10;18;21;23
2019-10-11;20;25;23
2019-10-12;24;26;25
2019-10-13;26;28;25
2019-10-14;22;26;25
2019-10-15;19;25;25
2019-10-16;19;25;25
2019-10-17;20;26;25
2019-10-18;22;26;26
2019-10-19;20;25;27
2019-10-20;15;22;25
2019-10-21;15;21;23
2019-10-22;17;23;24
2019-10-23;18;23;24
2019-10-24;19;24;24
2019-10-25;19;25;25
2019-10-26;19;25;24
2019-10-27;24;28;24
2019-10-28;24;28;24
2019-10-29;24;29;22
2019-10-30;24;28;22
2019-10-31;21;27;23
2019-11-01;20;26;23
2019-11-02;22;26;22
2019-11-03;25;28;24
2019-11-04;23;28;27
2019-11-05;23;30;27
2019-11-06;18;25;27
2019-11-07;18;24;26
2019-11-08;19;25;25
2019-11-09;20;25;25
2019-11-10;21;26;26
2019-11-11;18;24;27
2019-11-12;18;22;23
2019-11-13;19;24;23
2019-11-14;21;23;22
2019-11-15;18;23;20
2019-11-16;16;23;22
2019-11-17;17;22;22
2019-11-18;17;22;20
2019-11-19;18;22;21
2019-11-20;19;23;21
2019-11-21;20;25;22
2019-11-22;23;27;22
2019-11-23;21;27;21
2019-11-24;15;22;21
2019-11-25;16;22;20
2019-11-26;18;23;22
2019-11-27;21;26;22
2019-11-28;18;24;23
2019-11-29;16;22;22
2019-11-30;20;24;22
2019-12-01;23;25;23
2019-12-02;17;24;22
2019-12-03;16;22;21
2019-12-04;19;25;22
2019-12-05;22;28;21
2019-12-06;18;23;22
2019-12-07;19;23;21
2019-12-08;18;24;20
2019-12-09;19;26;21
2019-12-10;20;25;21
2019-12-11;20;24;22
2019-12-12;22;25;21
2019-12-13;21;27;23
2019-12-14;21;26;24
2019-12-15;23;28;24
2019-12-16;25;30;24
2019-12-17;22;29;25
2019-12-18;19;26;26
2019-12-19;19;25;23
2019-12-20;21;27;24
2019-12-21;24;29;23
2019-12-22;23;30;26
2019-12-23;21;25;22
2019-12-24;20;24;21
2019-12-25;22;25;23
2019-12-26;21;27;25
2019-12-27;21;27;23
2019-12-28;22;27;23
2019-12-29;22;27;22
2019-12-30;22;27;23
2019-12-31;23;28;24
2020-01-01;25;30;24
2020-01-02;22;28;21
2020-01-03;19;25;22
2020-01-04;20;25;21
2020-01-05;20;25;22
2020-01-06;23;27;24
2020-01-07;25;29;24
2020-01-08;23;28;23
2020-01-09;23;29;24
2020-01-10;25;29;25
2020-01-11;26;31;26
2020-01-12;23;29;27
2020-01-13;20;26;26
2020-01-14;20;26;23
2020-01-15;23;27;25
2020-01-16;25;30;24
2020-01-17;19;25;22
2020-01-18;18;23;23
2020-01-19;20;25;23
2020-01-20;20;25;22
2020-01-21;19;25;21
2020-01-22;19;25;22
2020-01-23;19;24;20
2020-01-24;18;23;20
2020-01-25;19;25;21
2020-01-26;21;25;22
2020-01-27;23;28;23
2020-01-28;23;29;24
2020-01-29;24;29;22
2020-01-30;24;29;25
2020-01-31;24;29;26
2020-02-01;22;28;25
2020-02-02;21;27;25
2020-02-03;20;27;25
2020-02-04;20;26;25
